userName,content,score,at,label,label_num
20_Ida Bagus Ade Artha Yoga,"['promo', 'pas', 'beli', 'pulsa', 'promonya', 'hilang', 'tidak']",1,2024-02-01 23:15:52,negatif,0
BEATRIX radit,['pas'],1,2024-02-01 23:11:58,negatif,0
Fadil Hidayat,"['konsumen', 'service', 'nya', 'gak', 'mudah', 'apa', 'keluh', 'jawab', 'gak', 'niat', 'pulsa', 'potong', 'disalahin', 'guna', 'lagi', 'ribet', 'banget', 'beli', 'pulsa', 'mati', 'data', 'ganti', 'g', 'pakai', 'g', 'aplikasi', 'nya', 'gak', 'buka', 'saran', 'nya', 'gak', 'guna', 'bukan', 'bertanggungjawab', 'nyalahin', 'konsumen', 'nyalahin']",1,2024-02-01 23:11:48,negatif,0
Yek Yok,"['woii', 'bodoh', 'sinyal', 'goib']",1,2024-02-01 23:03:55,negatif,0
Nadya Pithazmi,"['beli', 'paket', 'beli', 'gagal', 'pulsa', 'habis', 'buat', 'keluh', 'tanggap', 'rugi']",1,2024-02-01 23:01:31,negatif,0
TRUE SIAGIAN,"['beli', 'kuota', 'g', 'laku', 'harga', 'rupiah', 'malam', 'tanggal', 'februari', 'tanggal', 'februari', 'jam', 'proses']",1,2024-02-01 22:52:40,negatif,0
Arini Syahadah,"['coba', 'im', 'evaluasi', 'ulas', 'buruk', 'kait', 'sinyaljaringan', 'hilang', 'aju', 'komplain', 'jawab', 'tim', 'usaha', 'optimal', 'baik', 'jaring', 'komplain', 'paket', 'data', 'mahal', 'harga', 'beli', 'aplikasi', 'hot', 'promo', 'naik', 'harga', 'paket', 'data', 'bulan']",1,2024-02-01 22:16:16,negatif,0
Selvi syaqila,"['buruk', 'baik', 'jaring']",1,2024-02-01 22:11:20,negatif,0
junior master 651,"['pulsa', 'sedot', 'melulu', 'tidak', 'pakai', 'tidak', 'notif', 'g', 'langgan', 'coba', 'bikin', 'fitur', 'riwayat', 'pakai', 'pulsa', 'habis', 'pulsa', 'kurang', 'g', 'cek']",1,2024-02-01 21:33:26,negatif,0
DD Gemesh,"['jaring', 'lambat', 'tangerang', 'kota', 'tidak', 'harga', 'kuota', 'mahal', 'not', 'recomen', 'game', 'grafik']",1,2024-02-01 20:14:18,negatif,0
Realme Indo,"['jaring', 'susah', 'bangetapa', 'main', 'game', 'hilang', 'jaring', 'harga']",1,2024-02-01 19:37:30,negatif,0
untung suropati,"['aktivasi', 'paket', 'vidio', 'nonton', 'beli', 'paket', 'payah']",1,2024-02-01 19:03:50,negatif,0
Dimas Aditiya,"['indosat', 'lohh', 'minggu', 'tidak', 'bagus', 'sinyal', 'kenapaaa', 'cokcapekk', 'lamaa', 'tolong', 'benerin', 'bonus', 'sinyal', 'tuh', 'hah', 'bagusin']",1,2024-02-01 18:28:39,negatif,0
umar diaz prasetya,"['suruh', 'restart', 'sinyal', 'lambat', 'kaya', 'gin', 'kaya', 'plosokrekomendasi', 'kartu', 'bosan', 'kartu', 'mahal', 'sinyal', 'lambat', 'harga', 'doang', 'sinyal', 'tidak', 'benerin', 'lawakharga', 'sinyal', 'lambat', 'paket', 'boros', 'sesal', 'beli', 'kartu']",1,2024-02-01 18:10:29,negatif,0
Я Юбовь,"['hapus', 'fitur', 'indira', 'tidak', 'gmn', 'cara', 'batal', 'panjang', 'kuota', 'tidak', 'opsi', 'maksa', 'otomatis', 'panjang', 'kuota']",1,2024-02-01 18:09:18,negatif,0
cha chiroo,"['sinyal', 'buruk', 'jaring', 'jelek']",1,2024-02-01 17:54:47,negatif,0
Bandnana Official,"['paket', 'fun', 'tidak', 'pakai']",1,2024-02-01 17:50:36,negatif,0
Hendrik Kurniawan,"['main', 'game', 'sinyal', 'hilang', 'bikin', 'males', 'ajabikin', 'males', 'pakai', 'indosat', 'benar', 'benar', 'kecewa']",1,2024-02-01 17:50:26,negatif,0
Fiema Mahgfiroh,"['gila', 'iya', 'im', 'beli', 'kuota', 'gb', 'jam', 'ludes', 'parah', 'harga', 'sinyal', 'tidak', 'tingkat', 'boros', 'nya', 'lamalama', 'pindah', 'provider', 'mah', 'gin', 'asa', 'make', 'im', 'tidak', 'gin', 'deh', 'boros', 'bgttt']",1,2024-02-01 17:42:34,negatif,0
Rifki Albukhori Pratama,"['ko', 'indosat', 'game', 'kopi', 'kenang', 'isi', 'scam', 'saring', 'game', 'nya']",1,2024-02-01 17:23:10,negatif,0
Adit Sifa,"['anjg', 'main', 'game', 'burik', 'asuuuuu', 'moga', 'bangkrut', 'amin', 'mati', 'saham']",1,2024-02-01 17:22:40,negatif,0
agus azril,"['paket', 'nya', 'mahal', 'lambat']",1,2024-02-01 17:21:54,negatif,0
Putra Dewa,"['aplikasi', 'tolol']",3,2024-02-01 17:20:56,negatif,0
Desi apriyanti,"['pakai', 'indosat', 'kesini', 'sinyal', 'parah', 'sih', 'beli', 'kuota', 'gak', 'ush', 'beli', 'bkal', 'jelek', 'kya', 'gni', 'mah', 'mendeng', 'ganti', 'kya', 'gni', 'nyusahin', 'unduh', 'susah']",1,2024-02-01 17:07:21,negatif,0
Karimova Elina,"['ngeselin', 'drop', 'sinyal', 'aneh', 'kaya', 'sakit', 'nihh', 'laku', 'tetep', 'drop', 'kaya', 'gin', 'capek', 'liat', 'gin', 'benerin', 'coba', 'masalah', 'ganti', 'provider']",1,2024-02-01 17:04:08,negatif,0
Amrul Nerazzurra,"['provider', 'murah', 'dunia', 'sinyal', 'buruk']",1,2024-02-01 16:51:32,negatif,0
Pengguna Google,"['benar', 'benar', 'provider', 'penipuminggu', 'beli', 'kuota', 'gb', 'rupiah', 'nya', 'gbsekarang', 'beli', 'gb', 'harga', 'gb', 'hariisi', 'paket', 'tidak', 'deskripsidasar', 'penipubukan', 'tipu', 'rampokharga', 'paket', 'pulsa', 'potong', 'edan', 'benerkenapa', 'tidak', 'diresponbuka', 'indira', 'aplikasi', 'error', 'terusbeli', 'kuota', 'sulit', 'niat', 'benar', 'potong', 'pulsa', 'konsumen']",1,2024-02-01 16:48:10,negatif,0
Dian Arok,"['jaring', 'indosat', 'jelek', 'banget', 'ngeselein']",1,2024-02-01 16:42:34,negatif,0
Novalina Kim,['error'],1,2024-02-01 16:37:43,negatif,0
Arif Mustaqim,"['sih', 'konsep', 'imisi', 'pulsa', 'bundling', 'kuota', 'gbtapi', 'tidak', 'adadah', 'komplain', 'cs', '', 'jamtapi', 'tetep', 'tidak', 'da', 'perubahannipu', 'iya']",1,2024-02-01 16:33:03,negatif,0
CzxoJR SHOP,"['jaring', 'suka', 'mati', 'ngeganggu', 'pas', 'main', 'banget', 'harap', 'cepat', 'difix']",1,2024-02-01 16:31:44,negatif,0
Navis Kurtubi,"['jelek', 'banget', 'aplikasi', 'error', 'beli', 'paket']",1,2024-02-01 16:29:36,negatif,0
Hebitz Leonhart,"['situ', 'potong', 'harga', 'error', 'pas', 'beli']",1,2024-02-01 16:23:35,negatif,0
Omo Al,['bagus'],3,2024-02-01 16:10:33,negatif,0
Afip,"['layan', 'bayar', 'nya', 'mudah', 'benar', 'ribet', 'pakai', 'shopee', 'gak', 'masuk', 'dana', 'gak', 'masuk', 'hadeeeee']",1,2024-02-01 15:59:11,negatif,0
Mus Mulyadhi,"['sinyal', 'jelek']",1,2024-02-01 15:56:56,negatif,0
Bombe Penyelamat,"['aplikasi', 'anjinggapk', 'curi', 'uang', 'konsumen', 'isi', 'pulsa', 'imbayar', 'bank', 'bcadi', 'bca', 'seluler', 'jelasbrhsil', 'im', 'anjinkk', 'gagaluang', 'gak', 'pulsa', 'gak', 'dapatt', 'aplikasi', 'haramm', 'babi', 'curi']",1,2024-02-01 15:31:43,negatif,0
Har Tzy,"['buruk', 'sinyal', 'kouta', 'admin', 'baik', 'sinyal']",1,2024-02-01 15:22:28,negatif,0
Ferry Prtama Goesdi,"['aplikasi', 'error', 'sinyal', 'im', 'rusak', 'deket', 'lebaran', 'kouta', 'mahal', 'cepat', 'tidak', 'maksimall']",2,2024-02-01 15:12:34,negatif,0
Tino Prasetyaa,"['jaring', 'indosat', 'tertawa']",1,2024-02-01 15:09:54,negatif,0
Akbar Ramadhan,['sampah'],1,2024-02-01 15:03:30,negatif,0
Rifaldi Pratama,"['kesini', 'lambat', 'hilang', 'sinyal']",2,2024-02-01 14:59:29,negatif,0
Bang Dhi,"['woi', 'min', 'aplikasi', 'gak', 'baru', 'gak', 'sumpah', 'gak', 'baru', 'aplikasi', 'enak', 'benerin', 'jaring', 'hilangakses', 'jaring', 'lambatdata', 'lambat', 'benerin', 'server', 'maintenance', 'nya', 'baru', 'aplikasi', 'gak', 'guna', 'jaring', 'lancar', 'gak', 'ganggu', 'jaring', 'bagus', 'bintang', 'jaring', 'buruk', 'ganggu', 'baru', 'aplikasi', 'respon', 'negatif', 'paham', 'tidak', 'woii']",1,2024-02-01 14:52:52,negatif,0
yuli Lab,"['pesan', 'sampah', 'masuk']",1,2024-02-01 14:49:15,negatif,0
Areta Sulistianto,"['benerin', 'sinyal', 'sono']",1,2024-02-01 14:48:40,negatif,0
Jalmi Hina,"['sinyal', 'indosat', 'kesini', 'hancur', 'harga', 'paket', 'kuota', 'mahal', 'sinyal', 'hancur']",1,2024-02-01 14:48:28,negatif,0
Aras nur khalifah Arasnk,"['aplikasi', 'nya', 'taii', 'loginn', 'bae', 'lamaaa', 'bangettt', 'kesell', 'tunggu', 'nya', 'hapus', 'hapus', 'ning', 'pindahhhh', 'aplikasi', 'axis', 'telkomsel']",1,2024-02-01 14:47:40,negatif,0
AG Reborn,"['sinyal', 'im', 'ganggu', 'males', 'pakai', 'im', 'tidak', 'kayak', 'sinyal', 'im', 'lambat']",1,2024-02-01 14:44:18,negatif,0
Arel Yusuf,"['sinyal', 'lambat', 'banget', 'enak', 'sat', 'pindah', 'kartu']",1,2024-02-01 14:41:59,negatif,0
Dian Angga Sasmitha,"['layanannnya', 'ramah']",3,2024-02-01 14:40:23,negatif,0
Irsyadfadhli Ali,"['maaf', 'tidak', 'kurang', 'bintangya', 'rena', 'sinyal', 'kadang', 'hilang', 'kadang', 'bnr', 'setabil', 'kaya', 'fullll', 'bintang', 'terima', 'kasih']",2,2024-02-01 14:39:05,negatif,0
Ahmad Rendy,"['aplikasi', 'sampah']",1,2024-02-01 14:37:50,negatif,0
Frendy Rama,"['kecewa', 'fitur', 'pulsa', 'darurat']",1,2024-02-01 14:22:27,negatif,0
Mhmmd Riki,"['tidak', 'masuk', 'akun', 'iya', 'kode', 'verifikasi', 'tidak']",1,2024-02-01 14:17:41,negatif,0
Agu Andika,"['kecewa', 'kualitas', 'sinyal', 'imkalau', 'gin', 'auto', 'ganti', 'kartunyesal', 'pakai', 'indosattolong', 'baik', 'cepat', 'kualitas', 'jaring', 'imkami', 'kecewa']",1,2024-02-01 14:13:57,negatif,0
andika kurniawan,"['sinyal', 'g', 'jaring', 'im', 'tidak', 'muncul', 'paket', 'data', 'internet', 'tidak', 'guna', 'mati', 'lampu', 'sinyal', 'hilang', 'hujan', 'sinyal', 'susah', 'konsumen', 'service', 'tidak', 'respon', 'hampir', 'menit', 'tidak', 'sambung', 'tidak', 'angkat']",1,2024-02-01 14:10:42,negatif,0
ZODIAK VIRGO,"['m', 'paket', 'data', 'pulsa', 'kuras', 'paket', 'data', 'kasih', 'mode', 'kunci', 'pulsa', 'biar', 'pulsa', 'aman', 'gak', 'kuras', 'axis', 'mode', 'kunci', 'pulsa', 'axis', 'onee', 'broo', 'axis', 'baik', 'gak', 'm']",1,2024-02-01 14:09:35,negatif,0
Miftahul Ulum,"['kode', 'verivikasinya', 'tidak', 'dateng', 'hadehhh']",1,2024-02-01 14:07:37,negatif,0
ikom boest,"['g', 'promo']",1,2024-02-01 14:04:26,negatif,0
fahri jal,"['kartu', 'indosat', 'ooredoo', 'mahal', 'yah', 'konsumen', 'setia', 'im', 'hampir', 'pasang', 'paket', 'freedom', 'internet', 'harga', 'mahal', 'jangkau', 'harga', 'mahalsaya', 'kira', 'guna', 'paham', 'indosat', 'ooredoo', 'konsumen', 'nya', 'salahtlong', 'baik', 'paket', 'freedom', 'internet', 'ikan', 'murah', 'paket', 'freedom', 'internet', 'paket', 'gratis', 'telepon']",3,2024-02-01 14:03:59,negatif,0
Kiki Panji,"['plss', 'woi', 'indosat', 'lambat', 'woipdhl', 'tidak', 'lambat', 'rusak', 'gin', 'jaringannyakapan', 'kelen', 'benerin', 'jaringannyagw', 'siksa', 'lambat', 'trusklo', 'gin', 'bkln', 'ganti', 'kartu', 'mahtu', 'lihat', 'peringkat', 'peringkat']",1,2024-02-01 14:03:21,negatif,0
Antok Antok,"['sinyal', 'buruk', 'banget', 'iya', 'gabung', 'tr', 'cikarang']",2,2024-02-01 14:02:50,negatif,0
culess 01,"['gampang', 'error', 'kartu']",1,2024-02-01 14:01:52,negatif,0
Prasetyo Np03,"['jaring', 'buruk']",1,2024-02-01 14:01:26,negatif,0
fitri yani,"['tidak', 'nyaman', 'koneksi', 'sinyal', 'im', 'sekarangkoneksi', 'internet', 'burik', 'sesal', 'kayak', 'nya', 'pakai', 'kartu', 'imsudah', 'beli', 'paket', 'data', 'kuota', 'tidak', 'pakai', 'koneksi', 'burukmohon', 'baik', 'guna', 'indosat', 'kecewa']",1,2024-02-01 13:57:37,negatif,0
Agusvnyjlno,"['harga', 'paket', 'mahal', 'sinyal', 'gampang', 'hilang', 'urusin', 'sinyal', 'harga', 'emg', 'tidak', 'niat', 'tutup', 'bobrok', 'bubar', 'tuh', 'pt']",1,2024-02-01 13:55:58,negatif,0
Sri Sukma,"['tolong', 'perhati', 'jaring', 'm', 'daerah', 'sayakecamatan', 'bumi', 'raya', 'kabmorowali', 'sultengdisini', 'padam', 'listrik', 'jaring', 'm', 'hilangbahkan', 'listrik', 'sdh', 'nyala', 'jaring', 'm', 'tidak', 'jaringanmending', 'tidak', 'pasang', 'jaring', 'sini', 'tidak', 'menfalitasi', 'jaring']",3,2024-02-01 13:50:32,negatif,0
Vina Renita,"['kuota', 'mahal', 'jaring', 'bagus', 'mati', 'lampu', 'sinyal', 'hilang']",1,2024-02-01 13:43:46,negatif,0
Agung Sunandar,['ok'],1,2024-02-01 13:42:50,negatif,0
Samsul Maarip Maarip,"['jaring', 'gak', 'turun', 'pea', 'gak', 'cocok', 'pakai']",1,2024-02-01 13:41:06,negatif,0
Aldan nurohman,"['sinyal', 'ny', 'bagus', 'suka', 'lag', 'tbtb']",2,2024-02-01 13:37:18,negatif,0
STRAIGHT FAKE,"['jaring', 'baik', 'kayak', 'kartu', 'merah', 'kecewa', 'musim', 'hujan', 'dampak', 'guna', 'im', 'guna', 'malam', 'kasih', 'adik', 'adik', 'gadang', 'nunggu', 'sinyal', 'bagus', 'rasa', 'lambat', 'kecewa']",1,2024-02-01 13:36:35,negatif,0
Rasya malika Putra andoyo,"['topup', 'tidak', 'masuk', 'dm', 'nya']",1,2024-02-01 13:32:58,negatif,0
M.Reihan alfarizih,"['harga', 'oke', 'jangkau', 'banding', 'kualitas', 'sinyal', 'yah', 'jelek', 'banget', 'bicara', 'daerah', 'kabupaten', 'lebong', 'bengkulu', 'sinyal', 'nya', 'gak', 'stabil', 'cuaca', 'cerah', 'hujan', 'mendung', 'minimal', 'sinyal', 'nya', 'stabil', 'nya', 'biarin', 'berharihari', 'sial', 'memang']",2,2024-02-01 13:30:21,negatif,0
Ismett Syaputra2,"['jaring', 'nya', 'ko', 'kacau', 'iya', 'hujn', 'ganggu']",2,2024-02-01 13:27:40,negatif,0
Dhani Rizqian,"['tidak', 'puas', 'sinyal', 'kadang', 'hilang', 'lambat', 'bayar', 'mahal', 'lambat']",1,2024-02-01 13:25:42,negatif,0
195_Aulia Rahima,"['aplikasi', 'bagus']",1,2024-02-01 13:22:58,negatif,0
Uti Sri,"['llll', 'online']",2,2024-02-01 13:22:58,negatif,0
Julian 92,"['indosat', 'hampir', 'minngu', 'malam', 'error', 'jaring', 'kecewa']",1,2024-02-01 13:18:47,negatif,0
Wizam Geming,"['mohon', 'baik', 'jaring', 'wilayah', 'desa', 'hilang', 'koneksi', 'jaring', 'penuh', 'kuota', 'gb', 'sore', 'jam', 'gagal', 'koneksi']",1,2024-02-01 13:14:03,negatif,0
Yazid Habibi,"['beli', 'kuota', 'gb', 'masuk', 'nya', 'cuman', 'gb', 'rugi', 'donk']",1,2024-02-01 13:10:54,negatif,0
Enjang Nugraha,"['kuota', 'mahal', 'gampang', 'habis', 'hujan', 'dikit', 'sinyal', 'hilang', 'kesini', 'jelek', 'baik', 'kualitas', 'layan', 'gak', 'nonton', 'video', 'gak', 'unduh', 'kuota', 'habis', 'aneh', 'dasar', 'selamat', 'indosat', 'gak', 'pakai', 'kmu', 'terima', 'kasih']",1,2024-02-01 13:10:08,negatif,0
Dariz Nino,"['parah', 'banget', 'beli', 'kuota', 'laku', 'bayar', 'aplikasi', 'ewallet', 'tidak', 'proses', 'gagal', 'si', 'min']",3,2024-02-01 13:00:38,negatif,0
kuwatno 0885,['bagus'],3,2024-02-01 12:59:47,negatif,0
Nabil GG,"['sedot', 'pulsa', 'tidak', 'hak', 'mngambil', 'pulsa', 'konsumen', 'uang', 'haram', 'uang', 'anak', 'piatu', 'moga', 'dapat', 'balas', 'dalam', 'akhirat']",1,2024-02-01 12:54:59,negatif,0
Zam,"['kuota', 'tidak', 'dipakaikomplen', 'jawab', 'robot']",1,2024-02-01 12:52:59,negatif,0
sifa Siti Latifah,"['top', 'up', 'game', 'pulsa', 'potong', 'riwayat', 'gak', 'dm', 'ny', 'gak', 'masuk', 'hemmm']",1,2024-02-01 12:45:28,negatif,0
GGrid WTson,"['guna', 'indosat', 'kecewa', 'habis', 'hujan', 'gremicik', 'hujan', 'lambat', 'kaya', 'iya', 'kerjasama', 'iya', 'lambat', 'kaya', 'hujan', 'ckckckck', 'sungguh', 'downgrade']",1,2024-02-01 12:45:24,negatif,0
Atalik Wetasis,"['jakarta', 'pusat', 'pusat', 'loh', 'pinggirantapi', 'sinyal', 'susah']",1,2024-02-01 12:44:36,negatif,0
Iin Rahmansyah,"['isi', 'pulsa', 'sedot', 'kan', 'nyesek', 'nya', 'pakai', 'hemat', 'boros']",1,2024-02-01 12:44:33,negatif,0
Irvan Z,"['susah', 'benar', 'beli', 'paket', 'aplikasi']",1,2024-02-01 12:41:43,negatif,0
Dopidarlesta Dopidarlesta,"['jaring', 'asuuu']",1,2024-02-01 12:39:40,negatif,0
Zanita Atmarini,"['tenggang', 'cepatdan', 'paket', 'data', 'mahal']",3,2024-02-01 12:39:30,negatif,0
Arum werdining Tias,"['tidak', 'beres', 'sinyal', 'kecewa', 'si', 'pakai', 'm', 'paket', 'mahal', 'mahal']",2,2024-02-01 12:38:26,negatif,0
Wildan Kusumah,"['jaring', 'tidak', 'lambat', 'ganggu', 'cari', 'solusi', 'nya']",1,2024-02-01 12:38:17,negatif,0
Pian Alfian kasehung (Pin),"['kadang', 'jaring', 'tidak', 'pengaruh', 'cuaca', 'lambat', 'mati', 'total', 'dalam']",3,2024-02-01 12:35:10,negatif,0
Nezuko Chan24,"['woy', 'sinyal', 'gak', 'becus', 'lambat', 'benar']",1,2024-02-01 12:34:58,negatif,0
Ummu Tsaqif,"['mohon', 'buat', 'menu', 'batas', 'sedot', 'pulsa', 'registrasi', 'otomatis', 'sms', 'langgan', 'jenis', 'jujur', 'buat', 'rugi', 'guna', 'setia', 'indosat', 'mohon', 'realisasi', 'mohon', 'ikan', 'unreg', 'langgan', 'tidak', 'terima', 'kasih']",2,2024-02-01 12:34:08,negatif,0
Nufus Amrullah,"['kesini', 'mkin', 'tidak', 'nge', 'game', 'tbtb', 'notif', 'gak', 'otomatis', 'sinyal', 'alih', 'g', 'tidak', 'bikin', 'mkin', 'gamood', 'blokkkkkm']",1,2024-02-01 12:29:45,negatif,0
Aldin febriana,"['koneksi', 'internet', 'lambat', 'harga', 'paket']",1,2024-02-01 12:29:21,negatif,0
Yukito Yuki,"['sih', 'habis', 'hujan', 'susah', 'sinyal', 'tugas', 'susah']",1,2024-02-01 12:22:11,negatif,0
Deni Supriyadi,"['indosat', 'ampas', 'banget', 'kuota', 'isi', 'bergiga', 'giga', 'lambat', 'banget', 'butuh', 'giga', 'internet', 'ampas', 'banget', 'sesal', 'pakai', 'indosat']",1,2024-02-01 12:20:14,negatif,0
Indra Jr,"['sinyal', 'im', 'puas']",3,2024-02-01 12:15:31,negatif,0
ilham nurhikmah,"['paket', 'malahh', 'sinyall', 'taiii', 'dasarr', 'kartuu', 'eee', 'iya', 'kasih', 'bintang', 'mlsin', 'bngett', 'sinyall', 'nya', 'suka', 'gak', 'ngotakk', 'lambat', 'lambat', 'lambat', 'mlain']",1,2024-02-01 11:50:57,negatif,0
pajar kipli,"['aplikasi', 'tidak', 'stabil', 'parah']",1,2024-02-01 11:50:42,negatif,0
Dhidin Afirin,['bagus'],1,2024-02-01 11:45:22,negatif,0
PRATAMA AHMAD FAREL KUASA,"['harga', 'mahal', 'kualitas', 'sinyal', 'buruk', 'apa', 'im']",2,2024-02-01 11:39:44,negatif,0
Riki Woni,"['pulsa', 'hangus', 'kuota', 'nya', 'masuk', 'tidak', 'beres', 'my', 'im']",1,2024-02-01 11:38:26,negatif,0
abdullah,"['indosat', 'lambat', 'gak', 'kaya', 'gin']",2,2024-02-01 11:20:52,negatif,0
Davi Alfadhillah,"['harga', 'kuota', 'kesini', 'mahal', 'banget', 'pakai', 'boros', 'banget', 'tidak', 'buka', 'aplikasi', 'uras', 'kuota', 'sinyal', 'buruk', 'banget', 'main', 'game']",1,2024-02-01 11:15:19,negatif,0
Jay Nudin,['mentep'],3,2024-02-01 11:11:23,negatif,0
MIFTAKUL KHOIRI,"['pindah', 'kartu', 'pakai', 'kartu', 'buruk', 'parah']",1,2024-02-01 11:04:54,negatif,0
