userName,content,score,at,label
Sri Sukma,Tolonglah diperhatikan jaringan M3 didaerah saya.kecamatan bumi raya kab.morowali sulteng.disini sering padam listrik jaringan m3 pun ikut hilang.bahkan listrik sdh menyala jaringan m3 masih tdk ada jaringan.mending tdk usah pasang jaringan disini jika tdk mampu menfalitasi jaringan anda.,3,2024-02-01 13:50:32,negatif
Muhammad Rifhan,ya bagus,4,2024-02-01 13:48:15,positif
Juanda Irsan,sangat berguna,5,2024-02-01 13:46:29,positif
Vina Renita,kuota terlalu mahal dan jaringan kurang bagus apalagi saat mati lampu sinyal hilang,1,2024-02-01 13:43:46,negatif
Agung Sunandar,ok,1,2024-02-01 13:42:50,negatif
Samsul Maarip Maarip,"Jaringan gak jelas naik turun pea, gak cocok di pake",1,2024-02-01 13:41:06,negatif
Aldan nurohman,Sinyal ny kurang bagus suka lag tbtb,2,2024-02-01 13:37:18,negatif
STRAIGHT FAKE,Tolong lah jaringan tolong perbaiki kayak kartu merah banyak yang kecewa akhir2 ini karena musim hujan dan berdampak besar pada pengguna im3 kenapa dari dulu selalu bisa di gunakan saat tengah malam terus kasihan adik adik yang bergadang demi nunggu sinyal bagus Saya selalu merasakan lelet saat penting itu sangat mengecewakan,1,2024-02-01 13:36:35,negatif
Khaerul Nenjih,bagus,5,2024-02-01 13:35:51,positif
Rasya malika Putra andoyo,Karna saya topup di sini ga masuk dm nya,1,2024-02-01 13:32:58,negatif
M.Reihan alfarizih,"Utk harga okelah terjangkau di banding yg lain, tp kualitas sinyal yah jelek banget, btw gw daerah Kab. Lebong, Bengkulu... Sinyal nya gak stabil mau cuaca cerah, hujan, mendung sama aja, minimal sinyal nya di stabilkan lah bukan nya di biarin berhari-hari kek gitu aja, sialan emng",2,2024-02-01 13:30:21,negatif
